"business_id","Score","date","type"
1710,"94","20130110","routine"
1718,"73","20130424","routine"
1726,"100","20130327","routine"
1734,"96","20130430","routine"
1741,"85","20130122","routine"
17411,"74","20130430","routine"
1744,"98","20130123","routine"
1750,"61","20130416","routine"
17550,"98","20130226","routine"
1757,"90","20130125","routine"
17570,"91","20130311","routine"
17582,"100","20130228","routine"
17646,"92","20130107","routine"
1765,"100","20130114","routine"
17691,"100","20130112","routine"
17723,"86","20130314","routine"
17735,"70","20130312","routine"
17736,"100","20130130","routine"
1774,"93","20130205","routine"
1775,"70","20130107","routine"
17754,"80","20130304","routine"
17762,"94","20130509","routine"
17763,"100","20130424","routine"
1777,"87","20130220","routine"
17774,"86","20130222","routine"
17779,"98","20130205","routine"
1778,"86","20130502","routine"
178,"100","20130110","routine"
17822,"96","20130508","routine"
1785,"92","20130410","routine"
1792,"96","20130131","routine"
1796,"87","20130415","routine"
1797,"73","20130102","routine"
18018,"87","20130320","routine"
18047,"79","20130423","routine"
1810,"92","20130304","routine"
18102,"89","20130116","routine"
18126,"96","20130424","routine"
1814,"100","20130509","routine"
18148,"68","20130304","routine"
1815,"96","20130509","routine"
1822,"91","20130315","routine"
1824,"100","20130412","routine"
18298,"76","20130404","routine"
1830,"88","20130219","routine"
1831,"83","20130219","routine"
1833,"65","20130109","routine"
18357,"80","20130227","routine"
1836,"89","20130124","routine"
18369,"83","20130130","routine"
1838,"96","20130313","routine"
18403,"94","20130124","routine"
18405,"87","20130108","routine"
18422,"90","20130425","routine"
1843,"76","20130117","routine"
1844,"98","20130228","routine"
18457,"92","20130320","routine"
1850,"85","20130131","routine"
18514,"91","20130313","routine"
18538,"84","20130125","routine"
1854,"98","20130319","routine"
18577,"89","20130422","routine"
18580,"92","20130422","routine"
18581,"96","20130422","routine"
18606,"87","20130115","routine"
18616,"94","20130314","routine"
1866,"100","20130307","routine"
1867,"100","20130314","routine"
18681,"94","20130220","routine"
18686,"77","20130507","routine"
1869,"85","20130111","routine"
18728,"100","20130109","routine"
1873,"88","20130321","routine"
18732,"98","20130111","routine"
18767,"90","20130314","routine"
18800,"63","20130312","routine"
18800,"76","20130410","routine"
1882,"92","20130423","routine"
18824,"82","20130305","routine"
18826,"92","20130103","routine"
18870,"74","20130410","routine"
1890,"94","20130326","routine"
18901,"100","20130131","routine"
18921,"100","20130107","routine"
1894,"92","20130307","routine"
18940,"100","20130326","routine"
18952,"90","20130208","routine"
18953,"90","20130208","routine"
